Permit Type,Preferred Entry Date 1,Preferred Zone 1,Preferred Entry Date 2,Preferred Zone 2,Preferred Entry Date 3,Preferred Zone 3,Results Status,Awarded Preference,Awarded Entry Date,Awarded Entrance Code/Name,Awarded Group Size
Overnight Permit,9/10/2020,Core Enchantment Zone,9/17/2020,Core Enchantment Zone,9/24/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/10/2020,Snow Zone,7/17/2020,Snow Zone,8/22/2020,Snow Zone,Awarded,1,7/10/2020,Snow Zone,8
Overnight Permit,8/12/2020,Colchuck Zone,8/17/2020,Core Enchantment Zone,8/28/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/13/2020,Core Enchantment Zone,7/14/2020,Core Enchantment Zone,7/15/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/17/2020,Colchuck Zone,7/24/2020,Core Enchantment Zone,8/16/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,7/28/2020,Core Enchantment Zone,9/16/2020,Core Enchantment Zone,10/7/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,9/1/2020,Stuart  Zone,9/2/2020,Colchuck Zone,9/2/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/1/2020,Core Enchantment Zone,8/1/2020,Core Enchantment Zone,8/1/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/6/2020,Core Enchantment Zone,7/20/2020,Snow Zone,9/14/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,6/19/2020,Core Enchantment Zone,,,,,Unsuccessful,,,,
Overnight Permit,6/26/2020,Core Enchantment Zone,7/3/2020,Core Enchantment Zone,7/10/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/17/2020,Core Enchantment Zone,8/18/2020,Core Enchantment Zone,8/19/2020,Core Enchantment Zone,Unsuccessful,,,,
